customer_id,name,email,country,currency,is_delinquent,created_at
cus_001,Morgan Smith,morgan.smith45@yahoo.com,CA,usd,false,2026-01-13 03:43:00 UTC
cus_002,Hayden Wilson,hayden.wilson14@gmail.com,US,usd,false,2025-04-22 07:32:00 UTC
cus_003,Finley Miller,finley.miller93@enterprise.org,JP,cad,false,2025-04-23 14:37:00 UTC
cus_004,Alex Garcia,alex.garcia99@techcorp.io,DE,usd,false,2025-03-21 06:48:00 UTC
cus_005,Morgan Williams,morgan.williams58@gmail.com,DE,usd,false,2025-11-06 08:51:00 UTC
cus_006,Rowan Moore,rowan.moore25@techcorp.io,US,usd,false,2025-10-10 09:53:00 UTC
cus_007,Hayden Miller,hayden.miller18@gmail.com,CA,usd,false,2025-02-10 07:55:00 UTC
cus_008,Skyler Rodriguez,skyler.rodriguez68@enterprise.org,DE,usd,false,2025-07-09 11:13:00 UTC
cus_009,Taylor Martin,taylor.martin91@yahoo.com,JP,eur,true,2025-05-06 05:29:00 UTC
cus_010,Casey Moore,casey.moore38@enterprise.org,DE,usd,false,2025-04-28 01:51:00 UTC
cus_011,Skyler Rodriguez,skyler.rodriguez18@yahoo.com,BR,eur,true,2025-06-11 06:41:00 UTC
cus_012,Skyler Anderson,skyler.anderson28@outlook.com,US,usd,false,2025-05-07 23:35:00 UTC
cus_013,Hayden Wilson,hayden.wilson84@techcorp.io,DE,usd,false,2025-03-12 16:31:00 UTC
cus_014,Jordan Brown,jordan.brown29@enterprise.org,US,usd,false,2026-02-10 21:27:00 UTC
cus_015,Skyler Gonzalez,skyler.gonzalez86@techcorp.io,JP,usd,false,2026-05-13 17:55:00 UTC
cus_016,Morgan Moore,morgan.moore44@cloudfirm.net,DE,usd,true,2025-05-31 13:10:00 UTC
cus_017,Alex Rodriguez,alex.rodriguez74@cloudfirm.net,US,usd,false,2025-09-17 03:55:00 UTC
cus_018,Emerson Martin,emerson.martin35@yahoo.com,DE,usd,false,2025-10-04 16:58:00 UTC
cus_019,Sawyer Hernandez,sawyer.hernandez72@gmail.com,US,usd,false,2026-04-21 11:56:00 UTC
cus_020,Riley Johnson,riley.johnson40@saascompany.com,US,usd,false,2025-02-13 23:31:00 UTC
cus_021,Finley Jones,finley.jones26@enterprise.org,AU,gbp,true,2025-03-26 08:33:00 UTC
cus_022,Pat Moore,pat.moore98@yahoo.com,GB,cad,true,2025-12-10 20:23:00 UTC
cus_023,Emerson Anderson,emerson.anderson25@yahoo.com,CA,usd,false,2025-06-23 00:37:00 UTC
cus_024,Hayden Davis,hayden.davis10@gmail.com,US,usd,false,2025-04-28 02:57:00 UTC
cus_025,Avery Williams,avery.williams75@yahoo.com,GB,eur,false,2025-09-06 06:34:00 UTC
